gml_id,tur,ad,geojson
bursa_park.33,PARK,PAPATYA PARKI,"{""type"":""MultiPolygon"",""coordinates"":[[[[28.981545412,40.221336701],[28.981404856,40.221378807],[28.981514283,40.221768811],[28.981679726,40.221741323],[28.981717196,40.221674185],[28.981659206,40.221431998],[28.981565449,40.221441358],[28.981545412,40.221336701]]]]}"
bursa_park.34,PARK,,"{""type"":""MultiPolygon"",""coordinates"":[[[[28.989724892,40.20483664],[28.989253201,40.204586612],[28.988955532,40.204919346],[28.989019262,40.204943632],[28.989113166,40.204978114],[28.989190038,40.205009602],[28.989259047,40.205045415],[28.989339771,40.205091949],[28.989395033,40.205131353],[28.989437578,40.205183973],[28.989737311,40.204856912],[28.989724892,40.20483664]]]]}"
bursa_park.35,PARK,TÜRKIYE AZERBAYCAN KARDEŞLIK PARKI,"{""type"":""MultiPolygon"",""coordinates"":[[[[28.990066178,40.203712486],[28.989803267,40.203811971],[28.989768066,40.203849202],[28.988990138,40.203336276],[28.988507638,40.203735322],[28.98942223,40.204214986],[28.989486654,40.204248773],[28.989402497,40.204343248],[28.989271162,40.204490681],[28.989713301,40.204723458],[28.989780338,40.204756823],[28.990220225,40.204991199],[28.99024897,40.204977402],[28.990187925,40.204548123],[28.990075297,40.203819775],[28.990066178,40.203712486]]]]}"
bursa_park.36,PARK,,"{""type"":""MultiPolygon"",""coordinates"":[[[[28.990544823,40.203317825],[28.990394301,40.203330077],[28.990498752,40.204070532],[28.990202975,40.204087998],[28.990215886,40.20417755],[28.99066238,40.204151161],[28.990544823,40.203317825]]]]}"
bursa_park.37,PARK,ÜÇEVLER PARKI,"{""type"":""MultiPolygon"",""coordinates"":[[[[28.951731158,40.197253652],[28.951637308,40.197265635],[28.951628643,40.19713669],[28.951427461,40.197161415],[28.951439264,40.197455629],[28.951460954,40.19773311],[28.95176555,40.197704638],[28.951747249,40.197438048],[28.951731158,40.197253652]]]]}"
bursa_park.38,PARK,,"{""type"":""MultiPolygon"",""coordinates"":[[[[28.96779266,40.209188132],[28.96756583,40.209164929],[28.967512057,40.209488597],[28.967412326,40.210044284],[28.967363304,40.210317142],[28.967552299,40.210338397],[28.967610379,40.210072248],[28.967685753,40.209726123],[28.967733859,40.209505741],[28.96779266,40.209188132]]]]}"
bursa_park.39,PARK,ÇIÇEK PARKI,"{""type"":""MultiPolygon"",""coordinates"":[[[[28.965453293,40.210190841],[28.965784457,40.210222888],[28.965950176,40.209321067],[28.965057554,40.209233626],[28.965046801,40.209291164],[28.965453293,40.210190841]]]]}"
bursa_park.40,PARK,,"{""type"":""MultiPolygon"",""coordinates"":[[[[28.965476296,40.210238451],[28.965426923,40.210484433],[28.965724586,40.210520602],[28.965777869,40.210267631],[28.965476296,40.210238451]]]]}"
bursa_park.51,PARK,SIRA CEVIZLER ÇOCUK PARKI,"{""type"":""MultiPolygon"",""coordinates"":[[[[29.089364798,40.18005984],[29.089365342,40.180133261],[29.08947389,40.180119648],[29.089527111,40.180117681],[29.08962504,40.180114062],[29.089622751,40.180076421],[29.089621027,40.180003373],[29.089614568,40.17989442],[29.089591276,40.179888899],[29.089476291,40.179887325],[29.089293085,40.179888013],[29.089294376,40.180062113],[29.089364798,40.18005984]]]]}"
bursa_park.41,PARK,MIHRAPLI PARKI,"{""type"":""MultiPolygon"",""coordinates"":[[[[29.004921177,40.210148213],[29.004861892,40.21011092],[29.004277395,40.209777097],[29.00419209,40.209733085],[29.004096979,40.209685301],[29.004013737,40.209644586],[29.00392692,40.209603198],[29.003847082,40.209566084],[29.003760004,40.209526621],[29.003674612,40.209488929],[29.003600267,40.209456912],[29.003527237,40.209426171],[29.003015746,40.209213302],[29.002905044,40.209169223],[29.002801045,40.209131316],[29.002700334,40.209097687],[29.002584031,40.209062457],[29.002471373,40.209031868],[29.002354202,40.209003607],[29.002241476,40.208979727],[29.002117807,40.20895715],[29.002002052,40.208939366],[29.001906353,40.20892706],[29.001784066,40.208914437],[29.001686481,40.208906832],[29.001586577,40.208901291],[29.00149664,40.208898236],[29.001397028,40.208896979],[29.001347704,40.208897185],[29.001325271,40.208899254],[29.001306459,40.208904045],[29.001290034,40.208910982],[29.001270205,40.208924237],[29.001258702,40.208936144],[29.001249535,40.208950884],[29.001244296,40.20896734],[29.001244063,40.208987686],[29.001248512,40.209003264],[29.001258406,40.209019923],[29.001271795,40.209033542],[29.001287647,40.209044193],[29.001400199,40.209105767],[29.00206462,40.209469246],[29.00230373,40.209600052],[29.004204766,40.210640245],[29.004350697,40.210719811],[29.005120502,40.211140902],[29.005221079,40.211197929],[29.005319006,40.211257521],[29.005394585,40.211306473],[29.005470258,40.211358267],[29.005572155,40.211432796],[29.005655883,40.211498552],[29.005724189,40.211555534],[29.005794008,40.211617193],[29.00585216,40.211671443],[29.005896682,40.211714922],[29.005938481,40.211757405],[29.007012687,40.212870959],[29.007052763,40.212763133],[29.007073455,40.212681148],[29.00708635,40.21259823],[29.007091397,40.212513509],[29.007091997,40.212473691],[29.007083705,40.212403023],[29.00707288,40.212343637],[29.007056976,40.212278861],[29.007033167,40.212204162],[29.007006652,40.212137204],[29.006982176,40.212084495],[29.006953991,40.21203111],[29.006918943,40.21197258],[29.006888436,40.211926964],[29.006851139,40.211876416],[29.006798092,40.211808953],[29.006713825,40.211705348],[29.006646736,40.211625775],[29.006576182,40.211544683],[29.006522476,40.211484629],[29.006455128,40.211411255],[29.006395147,40.211347629],[29.006326929,40.211277134],[29.006259379,40.211209193],[29.006193784,40.211144903],[29.006122226,40.211076576],[29.006066262,40.211024394],[29.006006762,40.210970074],[29.005951069,40.210920276],[29.005897007,40.210872867],[29.005841538,40.21082515],[29.005788117,40.210780052],[29.005735622,40.21073653],[29.005676642,40.210688545],[29.005603286,40.210630165],[29.0055391,40.21058023],[29.005467944,40.210526078],[29.005397883,40.21047396],[29.005338926,40.210430996],[29.005277417,40.210387019],[29.005190005,40.210325964],[29.005124531,40.210281309],[29.005055412,40.210235136],[29.004977706,40.210184385],[29.004921177,40.210148213]]]]}"
